iter	Logloss
0	0.6392630834
1	0.5938157855
2	0.55198764283	0.5209600725
4	0.5033498034
5	0.4835796433
6	0.4685660871
7	0.454741383
8	0.4436816665
9	0.4350921866
10	0.4287824935
11	0.422400107
12	0.4173400686
113	0.4049161075
14	0.3991065827
15	0.394892057
16	0.3991056766
17	0.3948088757
18	0.3920284395
1919	0.3907299619
20	0.3865324567
21	0.3834334355
22	0.3809957384
23	0.37822087224	0.3761154852
25	0.3747570802
26	0.3714488513
27	0.369462573
28	0.3670864741
29	0.3639417046
30	0.3624544301
31	0.3609067297
32	0.3581449822
33	0.3565474571
34	0.3545778102
35	0.3526790114
36	0.3507521264
37	0.3400208651
38	0.3384535979
39	0.3372249355
40	0.3357269978
41	0.3343606398
42	0.333125191
43	0.3320990296
44	0.3304591235
45	0.3294643803
46	0.3280767416
47	0.327319248
48	0.3266105573
49	0.3254879838
50	0.3237926978
51	0.3224718124
52	0.3209634439
53	0.319843454	0.32644287
55	0.355	0.3186402959
56	0.3173772201
57	0.316241032
58	0.3150479978
59	0.3141731676
60	0.3133614042
61	0.3125573697
62	0.3116860164
63	0.3110277834
64	0.3103878778
65	0.3092156635
66	0.3088135939
67	0.3084530801
68	0.3076010176
69	0.3068422253
70	0.3060850668
71	0.3052949611
72	0.3045412167
73	0.303483658
74	0.3028772651
75	0.3021659982
76	0.3015481063
7777	0.3111493471
78	0.3103160788
79	0.309907555
80	0.3094467644
81	0.3084694917
82	0.307708601
83	0.3069701154
84	0.3061394345
85	0.3053034148
86	0.3044988587	0.2920214274
88	0.2915233856
89	0.2903854799
90	0.2899773571
91	91	0.3016851943
92	0.3011112493	0.2876311481
94	0.2871036359
95	0.2863709627
96	0.2857100906
97	0.2851668694
98	0.2843964524
99	0.2838287249
100	0.2830696185
101	0.2822702967
102	0.2102	0.2917421042
103	0.2914031381
104	0.2909002923
105	0.2906116364
106	0.2900625692
107	0.2889074968
108	0.2884736083
109	0.2880743213
110	0.287490988
111	0.2870232708
112	0.2860754882
113	0.2856317242
114	0.2849260344
115	0.2842957587
116	0.2836533508
117	0.2831256295
118	0.2826119	0.2119	0.2822120	0.271157395
121	0.2706680455
122	0.270195997
123	0.2694770431
124	0.2689995069
125	0.2680835397
126	0.2675405069
127	0.2665339086
128	0.2659083296
129	0.2653310929
130	0.2646783895
131	0.2640132	0.2698126801
133	0.2688431975
134	0.2678673593
135	0.2669622619
136	0.2661564907
137	0.265662352
138	0.2648433125
139	0.2642990106
140	0.263817601
141	0.2636649709
142	0.2630832451
143	0.262732717
144	0.262168125
145	0.2613521144
146	0.2607518147
147	0.2601700573
148	0.2598309947
149	0.2595534786
150	0.2589922062
151	0.258151	0.2538403974
152	0.2535443957
153	0.2531585379
154	0.2522425079
155	0.2517229341
156	0.2513240691
157	0.2509240731
158	0.2507168803
159	0.2501072828
160	0.2495185679
161	0.2491705586
162	0.2487521096
163	0.248034182
164	0.2477535963
165	0.2474847609
166	0.2468385297
167	0.2463114574
168	0.2459301657
169	0.2455679973
170	0.2451404789
171	0.244172	0.2481117674
173	0.2479117622
174	0.247386026
175	0.2469389251
176	0.2465683538
177	0.2461198149
178	0.2455131853
179	0.245114661
180	0.2447493876
181	0.2443017685
182	0.2439594019
183	0.2435527866
184	0.2431082037
185	0.2426360136
186	0.2424278499
187	0.2419769676
188	0.2416623431
189	0.2412457037
190	0.2408063955
191	0.2404744015
192	0.240289763
193	0.2394915758
194	0.2390715174
195	0.2383877042
196	0.2378361164
197	0.237568926
198	0.2369692458
199	0.2364907206
200	0.235999619
201	0.2357578133
202	0.2353971039
203	0.2349562906
204	0.234688191
205	0.2342374686
206	0.233858721
20207	0.2286002378
208	0.22818664209	0.2328184868
210210	0.2270108032
211	0.2266036954
212	0.2263841747
213	0.2258873614
214	0.2252558819
215	0.2248102389
216	0.2244192009
217	0.223910138
218	0.2233915976
219	0.2231350234
220	0.2229563557
221	0.2225984482
222	0.2219008622
223	0.2216466118
224	0.2213577423
225	0.221080917
226	0.2208479097
227	0.2205122192
228	0.219943236
229	0.2195065832
230	0.2189921693
231	0.2185222032
232	0.2183095481
233	0.2177161576
234	0.2175117726
235	0.2171911999
236	0.2169420365
237	0.2166183989
238	0.2164199356
239	0.2161751771
240	0.2157614545
241	0.2154448465
242	0.2151648553
243	0.2148456579
244	0.2145378921
245	0.2142005515
246	0.213751966
247	0.213558804
248	0.213221769
249	0.2129770905
250	0.2128325538
251	0.2125174595
252	0.2118964067
253	0.2116360028
254	0.2113715276
255	0.2109862642
256	0.2107433805
257	0.2104682212
258	0.210100462
259	0.2095465386
260	0.209108684261	0.2131882493
262	0.212852914
263	0.212416646
264	0.2120096031
265	0.2115730865
266	0.2112457942
267	0.2110034033
268	0.2107300939
269	0.2105257371
270	0.2099737999
271	0.20969519
272	0.2095137926
273	0.2093027337
274	0.2091796642
275	0.2089454488
276	0.2082950796
277	0.2079056876
278	0.2076754169
279	0.2074544536
280	0.206983643
281	0.2066619079
282	0.206380517
283	0.2062210713
284	0.206024922
285	0.2058938416
286	0.2054591578
287	0.2052088436
288	0.2048831036
289	0.2045046397
290	0.2037953987
291	0.2031536438
292	0.2027138563
293	0.2024590904
294	0.2022963571
295	0.201905958
296	0.2016120156
297	0.201219074
298	0.2010349326
299	0.2008571878

299	0.2040129159

