iter	Logloss
0	0.6356208293
1	0.5881485059
2	0.5488854319
3	0.5194253915
4	0.4994901868
5	0.47640344
6	0.4622142533
7	7	0.4554575858	8	0.4471090869	0.4309030505
10	0.4235815128
11	0.4169776094
1212	0.4197923582
13	0.4160183816
14	0.4130169379
15	0.4073777518
16	0.4028039292
17	0.3991237816
18	0.395006726
19	0.3907299619
20	0.3865324567
21	0.3834334355
22	0.3809957384
23	0.3782208728
24	0.3748708371
25	0.3724059193
26	0.3703203888
27	0.3682970974
28	0.3663850259
29	0.3641428801
30	0.3624113533
31	0.3610368756
32	0.3589363914
33	0.3579180352
34	0.3561056711
35	0.3539822663
36	0.3522982948
37	0.3505103597
38	0.3488612462
39	0.3476235217
40	0.3466506779
41	0.3445004575
42	0.3432502262
43	0.3415570293
44	0.3399979747
45	0.3389631865
46	0.3382359174
47	0.3368813365
48	0.3357341865
49	0.3342645755
50	0.3330970487
51	0.3323671554
52	0.3308716652
53	0.330174072
54	0.3292679664
55	0.3281979256
56	0.3270338491
57	0.3259490548
58	0.3250306313
59	0.3242585602
60	0.3235615721
61	0.3229205639
62	0.3222119022
63	0.3217265994
64	0.3209311817
65	0.320596236
66	0.3197599961
67	0.3192637658
68	0.3185912119
69	0.3181131801
70	0.3170917344
71	0.3165944896
72	0.3157142136
73	0.3149995626
74	0.3140797629
75	0.3133067781
76	0.3120118101
77	0.3111457735
78	0.3101853757
79	0.3093258665
80	0.3088569528
81	0.3083488563
82	0.3077206053
83	0.3066677768
84	0.3060385881
85	0.3053156074
86	0.3043955872
87	0.3039006937
88	0.3028504907
89	0.302525204
90	0.3012808506
91	0.3006358388
92	0.2995169986
93	0.2987539681
94	0.2979964896
95	0.2965098029
96	0.2959735561
97	0.2953804208
98	0.2948103077
99	0.2942332767
100	0.2933884825
101	0.2925090011
102	0.2917421042
103	0.2914031381
104	0.2909002923
105	0.2906116364
106	0.2900625692
107	0.2889074968
108	0.2884736083
109	0.2880743213
110	0.287490988
111	0.2870232708
112	0.2860754882
113	0.2856317242
114	0.2849260344
115	0.2842957587
116	0.2836533508
117	0.2831256295
118	0.2826639609
119	0.2822982831
120	0.2816115428
121	0.2809414434
122	0.2807127715
123	0.2799902205
124	0.2795367136
125	0.2790190262
126	0.2781683271
127	0.2771859395
128	0.2768935087
129	0.2766658075
130	0.2760335059
131	0.27132	0.2637610609
133	0.2634980484
134	0.2631822113
135	0.2627802674
136	0.2624059715
137	0.26167954
138	0.2610456458
139	0.2607248865
140	0.2603444955
141	0.2599557682
142	0.2593358864
143	0.2587611631
144	0.2584479652
145	0.2579049534
146	0.2571941054
147	0.2565194302
148	0.25148	0.2653762773
149	0.2651162803
150	0.2647744457
151	0.2643970421
152	0.2638425228
153	0.2635530902
154	0.263144794
155	0.2628592231
156	0.2624226392
157	0.2619227925
158	0.2614845608
159	0.2612222045
160	0.2607752069
161	0.2603643503
162	0.2599250019
163	0.2594177514
164	0.2586598593
165	0.2581596126
166	0.2576210732
167	0.256899908
168	0.2563481976
169	0.2558008183
170	0.2554333316
171	0.254855945
172	0.2547255389
173	0.2542889275
174	0.253842761
175	0.2533569584
176	0.253060206
177	0.2524987293
178	0.2522062933
179	0.2519052752
180	0.2511303401
181	0.2507235558
182	0.2502458682
183	0.249406963
184	0.2488348241
185	0.2482594414
186	0.2480310416
187	0.2477792767
188	0.2474653309
189	0.2471580542
190	0.2466589323
191	0.2461318794
192	0.2453514469
193	0.2447724284
194	0.2443138043
195	0.2440590598
196	0.2436718957
197	0.242924448
198	0.2423680182
199	0.2418646685
200	0.241410762
201	0.2408805251
202	0.2403096445
203	0.2399056531
204	0.2393206626
205	0.2389318413
206	0.2385639118
207	0.2380043498
208	0.2375945201
209	0.2370214143
210	0.2364863911
211	0.2363063756
212	0.2360656605
213	0.2356362462
214	0.2352790421
215	0.2349211291
216	0.2345183113
217	0.233962669
218	0.233380271
219	0.232909758
220	0.2324195263
221	0.2321651763
222	0.2318205279
223	0.2316354778
224	0.2310409072
225	0.2303681737
226	0.2301510908
227	0.2297624183
228	0.2295018704
229	0.229267515
230	0.2287501468
231	0.2284851728
232	0.2279807912
233	0.2276931406
234	0.2274974905
235	0.2272055202
236	0.2266379286
237	0.2260124477
238	0.2253251535
239	0.2249813277
240	0.2246120097
241	0.224036676
242	0.2237497355
243	0.2232075018
244	0.2229948857
245	0.2226947349
246	0.2223993884
247	0.2221493143
248	0.2218096278
249	0.2213136696
250	0.221108585
251	0.220873877
252	0.2203716138
253	0.2200498776
254	0.219627771
255	0.2193520159
256	0.2190576299
257	0.2187776883
258	0.2183837907
259	0.217706648
260	0.2172448241
261	0.2168714678
262	0.2165977575
263	0.2162053641
264	0.2157388574
265	0.2155696058
266	0.215134546
267	0.2148705039
268	0.2145578587
269	0.214333661
270	0.214092454
271	0.2138125862
272	0.2135526517
273	0.2131331748
274	0.2128433995
275	0.2121164634
276	0.211843507
277	0.2113137994
278	0.210803932
279	0.2105458207
280	0.2102229298
281	0.2099452061
282	0.2096822208
283	0.2093236712
284	0.2087923049
285	0.2083874774
286	0.2080786597
287	0.2078326771
288	0.2075139068
289	0.2071571361
290	0.2067635789
291	0.2066202573
292	0.2063077761
293	0.2060095869
294	0.2055460083
295	0.2051982973
296	0.2048970993
297	0.2045327656
298	0.2042164068
299	0.2040129159

